epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0331,2.21164,3.52457,1.83958,0.71048,0.28617,0.36665,0.13612,2.16526,3.39357,2.07859,0.000413753,0.000413753,0.000413753
2,41.3697,2.14147,2.68802,1.81592,0.24014,0.39801,0.24078,0.08067,2.19399,2.87124,2.07137,0.000816718,0.000816718,0.000816718
3,59.3619,2.12784,2.47585,1.76731,0.45981,0.44519,0.44621,0.17612,2.05561,2.31388,1.82541,0.00120593,0.00120593,0.00120593
4,78.16,2.11825,2.29485,1.76915,0.47491,0.5031,0.48246,0.18823,2.13387,2.41695,1.88357,0.00118812,0.00118812,0.00118812
5,96.106,2.08082,2.15017,1.73871,0.74176,0.31543,0.39576,0.1758,2.08691,2.35928,1.82394,0.0011675,0.0011675,0.0011675
6,113.98,2.04738,2.06185,1.70488,0.42557,0.48144,0.50275,0.2004,2.05224,2.06902,1.91443,0.00114688,0.00114688,0.00114688
7,131.829,2.01564,1.97457,1.67476,0.64239,0.50068,0.56229,0.2609,1.984,2.01117,1.80528,0.00112625,0.00112625,0.00112625
8,149.695,2.00922,1.91023,1.67391,0.72077,0.5248,0.57368,0.24093,1.9939,1.89491,1.748,0.00110563,0.00110563,0.00110563
9,167.661,1.99007,1.89048,1.66565,0.69051,0.62805,0.65539,0.3104,1.98108,1.74527,1.70442,0.001085,0.001085,0.001085
10,185.543,1.94671,1.79564,1.63803,0.67729,0.51884,0.6245,0.29441,1.92039,1.79783,1.76508,0.00106437,0.00106437,0.00106437
11,203.453,1.94011,1.77899,1.61697,0.67669,0.50101,0.61523,0.30199,2.03142,1.8075,1.81334,0.00104375,0.00104375,0.00104375
12,221.38,1.92416,1.71357,1.59044,0.6735,0.59614,0.69312,0.30258,2.01918,1.70284,1.83066,0.00102312,0.00102312,0.00102312
13,239.373,1.88587,1.64644,1.56605,0.77971,0.59202,0.71461,0.33256,2.05598,1.62192,1.81302,0.0010025,0.0010025,0.0010025
14,257.316,1.86931,1.61086,1.58063,0.76709,0.64757,0.72806,0.31997,2.00421,1.59253,1.77777,0.000981875,0.000981875,0.000981875
15,275.226,1.86143,1.60446,1.57344,0.85217,0.63677,0.7408,0.35527,1.93889,1.5084,1.76215,0.00096125,0.00096125,0.00096125
16,293.185,1.83296,1.54084,1.5529,0.74233,0.69559,0.77235,0.38099,1.90673,1.54672,1.74756,0.000940625,0.000940625,0.000940625
17,311.125,1.81319,1.5269,1.52338,0.77936,0.63407,0.75874,0.39226,1.9818,1.44578,1.76174,0.00092,0.00092,0.00092
18,329.099,1.81509,1.48252,1.53096,0.67104,0.64878,0.68773,0.3572,2.01789,1.46105,1.77938,0.000899375,0.000899375,0.000899375
19,346.991,1.81277,1.46909,1.52255,0.78162,0.70844,0.76311,0.37493,2.047,1.38138,1.80177,0.00087875,0.00087875,0.00087875
20,364.875,1.78491,1.44617,1.50206,0.8581,0.64757,0.80774,0.41768,1.9787,1.39538,1.69113,0.000858125,0.000858125,0.000858125
21,382.796,1.79033,1.40496,1.50512,0.77352,0.70554,0.79297,0.39331,2.01152,1.30683,1.69934,0.0008375,0.0008375,0.0008375
22,400.705,1.75011,1.3764,1.47872,0.71798,0.73862,0.75117,0.38382,2.02794,1.3404,1.71288,0.000816875,0.000816875,0.000816875
23,418.715,1.71447,1.38481,1.46544,0.76368,0.78003,0.80392,0.40089,1.97277,1.30976,1.72217,0.00079625,0.00079625,0.00079625
24,436.612,1.72891,1.36533,1.48286,0.71126,0.68012,0.74659,0.40016,1.93998,1.26216,1.71272,0.000775625,0.000775625,0.000775625
25,454.535,1.71725,1.33223,1.46341,0.71942,0.73199,0.79078,0.4323,1.93521,1.31943,1.69367,0.000755,0.000755,0.000755
26,472.432,1.71554,1.33576,1.46133,0.78054,0.71218,0.81262,0.42711,1.98214,1.26451,1.72503,0.000734375,0.000734375,0.000734375
27,490.319,1.66494,1.2659,1.43273,0.86986,0.75774,0.84566,0.43692,1.97577,1.23323,1.72971,0.00071375,0.00071375,0.00071375
28,508.265,1.65496,1.25356,1.43318,0.76416,0.76662,0.79891,0.41792,1.9254,1.24354,1.70084,0.000693125,0.000693125,0.000693125
29,526.207,1.65607,1.25385,1.42333,0.74101,0.67745,0.78545,0.44422,2.00001,1.25637,1.75007,0.0006725,0.0006725,0.0006725
30,544.188,1.65747,1.23398,1.43013,0.8119,0.71505,0.7951,0.40235,2.00593,1.26169,1.73777,0.000651875,0.000651875,0.000651875
31,562.1,1.63625,1.21257,1.41681,0.74296,0.84301,0.85635,0.45578,1.92992,1.14202,1.66407,0.00063125,0.00063125,0.00063125
32,580.136,1.61825,1.17987,1.39756,0.73656,0.75149,0.80784,0.43848,1.92629,1.17795,1.63126,0.000610625,0.000610625,0.000610625
33,598.046,1.59902,1.18955,1.40226,0.81035,0.74886,0.82241,0.45516,2.00761,1.16514,1.68567,0.00059,0.00059,0.00059
34,615.938,1.58327,1.15781,1.3719,0.82483,0.7611,0.86513,0.50403,1.94742,1.12324,1.67815,0.000569375,0.000569375,0.000569375
35,633.886,1.56556,1.14442,1.36781,0.79791,0.81452,0.86827,0.51688,1.90629,1.07781,1.62955,0.00054875,0.00054875,0.00054875
36,651.776,1.54337,1.09904,1.36785,0.76925,0.85322,0.87192,0.48816,1.90616,1.06878,1.64567,0.000528125,0.000528125,0.000528125
37,669.78,1.5308,1.09003,1.3484,0.73263,0.83037,0.85513,0.50354,1.88393,1.10396,1.6235,0.0005075,0.0005075,0.0005075
38,687.626,1.55675,1.11188,1.36635,0.74556,0.77173,0.8296,0.47157,1.90556,1.06552,1.63805,0.000486875,0.000486875,0.000486875
39,705.428,1.52482,1.0679,1.33857,0.7941,0.80275,0.85571,0.49813,1.91609,1.07777,1.64857,0.00046625,0.00046625,0.00046625
40,723.286,1.51412,1.09381,1.32759,0.8215,0.83867,0.89833,0.51889,1.89343,1.03263,1.62482,0.000445625,0.000445625,0.000445625
41,741.336,1.49641,1.046,1.33086,0.76397,0.84343,0.87854,0.48058,1.90529,1.06571,1.6527,0.000425,0.000425,0.000425
42,759.277,1.47519,1.02551,1.31396,0.83476,0.8313,0.87788,0.52213,1.88105,1.05874,1.61563,0.000404375,0.000404375,0.000404375
43,777.221,1.4915,1.02928,1.32549,0.87366,0.8229,0.8833,0.5288,1.88668,1.0588,1.6253,0.00038375,0.00038375,0.00038375
44,795.208,1.4725,1.01724,1.31386,0.80996,0.8025,0.8596,0.52882,1.88441,1.05158,1.65103,0.000363125,0.000363125,0.000363125
45,813.196,1.48017,1.02314,1.31319,0.84147,0.82965,0.89542,0.54806,1.9285,0.99894,1.65538,0.0003425,0.0003425,0.0003425
46,831.146,1.43943,0.97637,1.30309,0.83359,0.83936,0.88324,0.52641,1.91826,0.97742,1.62065,0.000321875,0.000321875,0.000321875
47,849.051,1.43377,0.98459,1.29327,0.85939,0.84346,0.89879,0.54344,1.86257,0.99905,1.59327,0.00030125,0.00030125,0.00030125
48,866.966,1.42627,0.97849,1.28244,0.76811,0.88513,0.89281,0.5576,1.8855,0.96795,1.59003,0.000280625,0.000280625,0.000280625
49,884.925,1.42508,0.97429,1.28487,0.84125,0.78558,0.8751,0.55088,1.90047,1.00515,1.62479,0.00026,0.00026,0.00026
50,902.791,1.40516,0.93472,1.27601,0.79869,0.84221,0.89756,0.57168,1.85142,0.9733,1.58531,0.000239375,0.000239375,0.000239375
51,954.246,1.38449,0.88952,1.28941,0.88288,0.79775,0.88962,0.53814,1.94273,0.99013,1.66005,0.00021875,0.00021875,0.00021875
52,972.816,1.353,0.85536,1.27437,0.89225,0.81534,0.904,0.54354,1.88817,1.00622,1.61031,0.000198125,0.000198125,0.000198125
53,991.333,1.30839,0.82931,1.24948,0.8756,0.79181,0.89853,0.54195,1.84065,0.95685,1.59078,0.0001775,0.0001775,0.0001775
54,1009.72,1.30503,0.83564,1.25482,0.86862,0.84227,0.92645,0.57196,1.82385,0.92131,1.57334,0.000156875,0.000156875,0.000156875
55,1028.35,1.28839,0.79838,1.24121,0.88261,0.85511,0.92297,0.59484,1.84835,0.91515,1.57336,0.00013625,0.00013625,0.00013625
56,1046.96,1.28788,0.77775,1.23873,0.84544,0.8925,0.9249,0.57264,1.85584,0.93217,1.59426,0.000115625,0.000115625,0.000115625
57,1065.47,1.2694,0.77382,1.23365,0.89354,0.87187,0.932,0.58501,1.86955,0.92114,1.60979,9.5e-05,9.5e-05,9.5e-05
58,1083.96,1.24915,0.76122,1.21851,0.82754,0.89129,0.92157,0.5848,1.85124,0.92798,1.59609,7.4375e-05,7.4375e-05,7.4375e-05
59,1102.45,1.2507,0.76965,1.22375,0.85659,0.8724,0.91951,0.59268,1.85082,0.93055,1.60344,5.375e-05,5.375e-05,5.375e-05
60,1120.8,1.23986,0.78042,1.22548,0.88849,0.83002,0.92372,0.59249,1.85239,0.91576,1.60385,3.3125e-05,3.3125e-05,3.3125e-05
