filepath,label,label_id,is_augmented
C:\lab-hackathon\dataset\Hypodontia\(1183).JPG,Hypodontia,5,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_4473.jpeg,Caries,0,0
C:\lab-hackathon\dataset\Calculus\(574).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Calculus\(871).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Gingivitis\(2284).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\40.jpg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(1644).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Calculus\(325).jpg,Calculus,1,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_4269.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(994).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\237.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Calculus\(64).jpg,Calculus,1,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\caries_0_481.jpeg,Ulcers,4,0
C:\lab-hackathon\dataset\Gingivitis\(609).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\augmented\caries_0_7652.jpeg,Caries,0,1
C:\lab-hackathon\dataset\Gingivitis\(717).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Gingivitis\(1139).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Caries\original\69.jpg,Caries,0,0
C:\lab-hackathon\dataset\Gingivitis\(2319).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\yolo_bbox\images\train\540.jpg,Tooth Discoloration,3,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_7531.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\Gingivitis\(406).jpg,Gingivitis,2,0
C:\lab-hackathon\dataset\Tooth Discoloration\augmented\Tooth_Discoloration_0_2758.jpeg,Tooth Discoloration,3,1
C:\lab-hackathon\dataset\yolo_bbox\images\train\262.jpg,Ulcers,4,0
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_2239.jpeg,Ulcers,4,1
C:\lab-hackathon\dataset\Ulcers\augmented\Mouth_Ulcer_0_3484.jpeg,Ulcers,4,1
